Month,"Active Listings, Number of 2014","Active Listings, Number of 2015","Active Listings, Number of 2016","Active Listings, Number of 2017","Active Listings, Number of 2018","Active Listings, Number of 2019"
Jan,"1,991","1,519","1,323","1,329","1,188","1,393"
Feb,"1,849","1,350","1,259","1,259","1,031",
Mar,"1,697","1,216","1,207","1,287",943,
Apr,"1,528","1,178","1,138","1,192",970,
May,"1,160","1,140","1,171","1,149","1,006",
Jun,"1,289","1,091","1,182","1,129",965,
Jul,"1,317","1,012","1,126","1,080",986,
Aug,"1,327","1,055","1,253","1,351","1,074",
Sep,"1,432","1,184","1,294","1,479","1,318",
Oct,"1,532","1,223","1,299","1,481","1,381",
Nov,"1,519","1,321","1,421","1,396","1,315",
Dec,"1,500","1,272","1,335","1,243","1,311",
