Year,Property Type,yrTot_avail,yr_avg_avail,yrAvg_avail_all,yrTot_numSales,yrAvg_numSales,yrTot_spTrend,yrAvg_spTrend
2009,Private,,,,,,1557195,129766
2010,Private,,,,,,2819293,105175
2011,Private,,,,,,2598148,111338
2012,Private,,,,,,2824350,124025
2013,Private,,,,18517,1543,3358988,155891
2014,Private,80137,6678,4095,15863,1322,3979052,175697
2015,Private,85971,7164,4189,21544,1795,4390349,190165
2016,Private,75308,6276,3763,21328,1777,4825235,211938
2017,Private,66236,5520,3400,21824,1819,5354151,234242
2018,Private,61242,5104,3114,21850,1821,5867051,254679
2019,Private,5154,5154,3274,,,3301150,245000
2009,Rental,,,,,,273950,2413
2010,Rental,,,,,,59168,2518
2011,Rental,,,,,,59791,2464
2012,Rental,,,,,,59287,2476
2013,Rental,,,,9605,800,58587,2406
2014,Rental,18141,1512,,9191,766,57154,2357
2015,Rental,14561,1213,,8711,726,56901,2385
2016,Rental,15008,1251,,8540,712,57055,2370
2017,Rental,15375,1281,,8990,749,56868,2369
2018,Rental,13488,1124,,8370,698,56522,2341
2019,Rental,1393,1393,,,,30339,2250
2009,Both,,,,,,1588395,132179
2010,Both,,,,,,2878461,107693
2011,Both,,,,,,2657939,113802
2012,Both,,,,,,2883637,126501
2013,Both,,,,28122,2344,3417575,158297
2014,Both,98278,8190,,25054,2088,4036206,178054
2015,Both,100532,8378,,30255,2521,4447250,192550
2016,Both,90316,7526,,29868,2489,4882290,214307
2017,Both,81611,6801,,30814,2568,5411019,236611
2018,Both,74730,6228,,30220,2518,5923573,257020
2019,Both,21936,1828,,,,,
