Month,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2009_r,2010_r,2011_r,2012_r,2013_r,2014_r,2015_r,2016_r,2017_r,2018_r,2019_r,
yrTot_avail,,,,,,"80,137","85,971","75,308","66,236","61,242","5,154",,,,,,"18,141","14,561","15,008","15,375","13,488","1,393",
yrTot_avail_all,,,,,,"98,278","100,532","90,316","81,611","74,730","6,547",,,,,,,,,,,,
yr_avg_avail,,,,,,6678.08,7164.25,6275.67,5519.67,5103.5,5154,,,,,,1511.75,1213.42,1250.67,1281.25,1124,1393,
yrAvg_avail_all,,,,,,4094.92,4188.83,3763.17,3400.46,3113.75,3273.5,,,,,,,,,,,,
yrTot_numSales,,,,,"18,517","15,863","21,544","21,328","21,824","21,850",,,,,,"9,605","9,191","8,711","8,540","8,990","8,370",,
yrTot_numSales_all,,,,,"28,122","25,054","30,255","29,868","30,814","30,220",,,,,,,,,,,,,
yrAvg_numSales,,,,,"1,543","1,322","1,795","1,777","1,819","1,821",,,,,,800,766,726,712,749,698,,
yrAvg_numSales_all,,,,,"1,172","1,044","1,261","1,245","1,284","1,259",,,,,,,,,,,,,
yrTot_spTrend,"$1,557,195.00 ","$1,262,098.00 ","$1,336,050.00 ","$1,488,300.00 ","$1,870,688.00 ","$2,108,364.00 ","$2,281,985.00 ","$2,543,250.00 ","$2,810,901.00 ","$3,056,150.00 ","$245,000.00 ","$28,950.00 ","$30,218.00 ","$29,573.00 ","$29,714.00 ","$28,873.00 ","$28,281.00 ","$28,620.00 ","$28,435.00 ","$28,433.00 ","$28,089.00 ","$2,250.00 ",
yrTot_spTrend_all,"$1,586,145.00 ","$1,292,316.00 ","$1,365,623.00 ","$1,518,014.00 ","$1,899,561.00 ","$2,136,645.00 ","$2,310,605.00 ","$2,571,685.00 ","$2,839,334.00 ","$3,084,239.00 ","$247,250.00 ",,,,,,,,,,,"$2,250.00 ",
yrAvg_spTrend,"$129,766.25 ","$105,174.83 ","$111,337.50 ","$124,025.00 ","$155,890.67 ","$175,697.00 ","$190,165.42 ","$211,937.50 ","$234,241.75 ","$254,679.17 ","$245,000.00 ","$2,412.50 ","$2,518.17 ","$2,464.42 ","$2,476.17 ","$2,406.08 ","$2,356.75 ","$2,385.00 ","$2,369.58 ","$2,369.42 ","$2,340.75 ","$2,250.00 ",
yrAvg_spTrend_all,"$66,089.38 ","$53,846.50 ","$56,900.96 ","$63,250.58 ","$79,148.38 ","$89,026.88 ","$96,275.21 ","$107,153.54 ","$118,305.58 ","$128,509.96 ","$123,625.00 ",,,,,,,,,,,,
