Year,Property Type,yrTot_avail,yr_avg_avail,yrAvg_avail_all,yrTot_numSales,yrAvg_numSales,yrTot_spTrend,yrAvg_spTrend
2009,Private,,,,,,1557195.00,129766.00
2010,Private,,,,,,2819293.00,105175.00
2011,Private,,,,,,2598148.00,111338.00
2012,Private,,,,,,2824350.00,124025.00
2013,Private,,,,18517.00,1543.00,3358988.00,155891.00
2014,Private,80137.00,6678.00,4094.92,15863.00,1322.00,3979052.00,175697.00
2015,Private,85971.00,7164.00,4188.83,21544.00,1795.00,4390349.00,190165.00
2016,Private,75308.00,6276.00,3763.17,21328.00,1777.00,4825235.00,211938.00
2017,Private,66236.00,5520.00,3400.46,21824.00,1819.00,5354151.00,234242.00
2018,Private,61242.00,5104.00,3113.75,21850.00,1821.00,5867051.00,254679.00
2019,Private,5154.00,5154.00,3273.50,,,3301150.00,245000.00
2009,Rental,,,,,,273950.00,2413.00
2010,Rental,,,,,,59168.00,2518.00
2011,Rental,,,,,,59791.00,2464.00
2012,Rental,,,,,,59287.00,2476.00
2013,Rental,,,,9605.00,800.00,58587.00,2406.00
2014,Rental,18141.00,1512.00,,9191.00,766.00,57154.00,2357.00
2015,Rental,14561.00,1213.00,,8711.00,726.00,56901.00,2385.00
2016,Rental,15008.00,1251.00,,8540.00,712.00,57055.00,2370.00
2017,Rental,15375.00,1281.00,,8990.00,749.00,56868.00,2369.00
2018,Rental,13488.00,1124.00,,8370.00,698.00,56522.00,2341.00
2019,Rental,1393.00,1393.00,,,,30339.00,2250.00
2009,Both,,,,,,1588395.00,132179.00
2010,Both,,,,,,2878461.00,107693.00
2011,Both,,,,,,2657939.00,113802.00
2012,Both,,,,,,2883637.00,126501.00
2013,Both,,,,28122.00,2344.00,3417575.00,158297.00
2014,Both,98278.00,8190.00,,25054.00,2088.00,4036206.00,178054.00
2015,Both,100532.00,8378.00,,30255.00,2521.00,4447250.00,192550.00
2016,Both,90316.00,7526.00,,29868.00,2489.00,4882290.00,214307.00
2017,Both,81611.00,6801.00,,30814.00,2568.00,5411019.00,236611.00
2018,Both,74730.00,6228.00,,30220.00,2518.00,5923573.00,257020.00
2019,Both,21936.00,1828.00,,,,,
