Month,Property Type,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,yrTot_numSales,yrAvg_numSales
2013,Private,"1,192","1,399","1,667","1,682","1,801","1,636","1,784","1,731","1,448","1,459","1,271","1,447",18517,1543.083333
2014,Private,"1,127","1,147","1,423","1,502","1,559",464,986,"1,403","1,514","1,692","1,343","1,703",15863,1321.916667
2015,Private,"1,291","1,477","1,886","1,845","1,923","2,136","2,087","1,980","1,850","1,743","1,525","1,801",21544,1795.333333
2016,Private,"1,291","1,462","1,858","1,862","1,998","2,094","1,965","2,029","1,862","1,608","1,493","1,806",21328,1777.333333
2017,Private,"1,361","1,517","2,049","1,744","2,168","2,251","1,973","2,103","1,519","1,684","1,644","1,811",21824,1818.666667
2018,Private,"1,366","1,470","2,002","1,904","2,117","2,187","2,084","2,097","1,681","1,802","1,604","1,536",21850,1820.833333
2013,Rental,670,792,905,849,809,891,958,938,692,771,674,656,9605,800.4166667
2014,Rental,772,835,895,831,914,636,778,845,652,735,640,658,9191,765.9166667
2015,Rental,639,774,816,729,755,830,893,769,578,671,593,664,8711,725.9166667
2016,Rental,657,646,759,727,718,766,831,806,706,603,666,655,8540,711.6666667
2017,Rental,619,656,728,671,831,847,831,820,719,883,722,663,8990,749.1666667
2018,Rental,735,709,687,645,702,753,807,783,585,674,676,614,8370,697.5
2013,All,1862,2191,2572,2531,2610,2527,2742,2669,2140,2230,1945,2103,28122,2343.5
2014,All,1899,1982,2318,2333,2473,1100,1764,2248,2166,2427,1983,2361,25054,2087.833333
2015,All,1930,2251,2702,2574,2678,2966,2980,2749,2428,2414,2118,2465,30255,2521.25
2016,All,1948,2108,2617,2589,2716,2860,2796,2835,2568,2211,2159,2461,29868,2489
2017,All,1980,2173,2777,2415,2999,3098,2804,2923,2238,2567,2366,2474,30814,2567.833333
2018,All,2101,2179,2689,2549,2819,2940,2891,2880,2266,2476,2280,2150,30220,2518.333333
